,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hidden_dim,nepoch,reg_coef,subset_size
24,59.279999999999994,-13.578947368421053,1.4105263157894736,15.073684210526318,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,64,100,50,1.0,
18,58.36,-20.22105263157895,0.3999999999999999,20.536842105263165,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,32,100,50,0.1,
43,57.92999999999999,-2.6315789473684212,2.305263157894737,12.873684210526314,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,64,100,50,0.1,
32,57.629999999999995,-9.305263157894734,0.4526315789473684,9.326315789473687,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,256,100,50,10.0,
36,56.669999999999995,-5.578947368421051,1.4105263157894736,14.052631578947372,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,32,100,50,0.1,
25,56.1,-20.231578947368423,1.3052631578947371,20.66315789473684,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,64,100,50,0.1,
54,53.81999999999999,-8.084210526315792,0.768421052631579,10.694736842105266,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.1,32,100,50,0.1,
35,53.43000000000001,-5.221052631578947,0.23157894736842097,5.43157894736842,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,256,100,50,100.0,
39,53.330000000000005,-2.336842105263158,1.9578947368421051,8.821052631578949,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.01,32,100,50,1.0,
28,53.06,-17.989473684210527,1.2,18.063157894736843,20,gs_split-cifar100,MAS,2020-11-22-04-41-0,gs_split-cifar100,MAS,0.001,256,100,50,1.0,
