,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hiddens,epochs_per_task,gamma,dropout
94,39.01738071745573,-10.070697126263212,0.31984516295538135,10.070697126263212,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.6000000000000001,0.30000000000000004
331,38.73090509499813,-19.323931163982504,0.6018094256467426,19.3618530449078,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.9,0.5
26,38.36994316611673,-14.53914622347851,0.44675110858263406,14.594887583567694,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.6000000000000001,0.1
76,38.19986202193921,-16.88763732338085,1.1159159260168763,16.88763732338085,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.6000000000000001,0.0
132,38.120769009987,-6.461314130126663,-0.08663586193270298,6.479894583489725,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.6000000000000001,0.2
87,37.97953269943444,-8.028737165902923,-0.017066271553001024,8.065898072629047,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,0.6000000000000001,0.4
110,37.91004777031887,-6.358971387702729,0.5241441891378735,6.470454107881101,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.6000000000000001,0.30000000000000004
134,37.717823298150286,-7.993226770162756,0.31879755397290016,8.10470949034113,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.6000000000000001,0.1
95,37.61302467987882,-8.4985250442883,0.9039163950247759,8.684329577918922,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.6000000000000001,0.0
92,37.56588362081042,-8.919205222043011,0.09227597578629945,9.08642930231057,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,0.6000000000000001,0.4
265,37.55310784944335,-26.009717199630856,0.33918219529487786,26.009717199630856,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.8,0.1
124,37.41564938372723,-5.55844505169922,0.8474728162212294,5.765981493680276,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,0.6000000000000001,0.4
261,37.32766856692198,-25.71915411757559,0.32596137835441596,25.71915411757559,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.8,0.0
289,36.6419785606068,-12.897707835582457,-0.07835513410221687,12.93562971650775,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.8,0.5
